epochs, networks, lookback, batch_size, trainsize, k_neighbors, weighted, train_style, window_size, base_size, adaptive, test_mse
700, 3, 1, 100, 500, 3, 1, 'o', 200, 200, 1, 0.00149
900, 5, 1, 100, 500, 5, 1, 'o', 300, 300, 1,  0.00110
900, 5, 1, 100, 500, 5, 1, 'o', 400, 400, 1,  0.001076
1000, 5, 1, 100, 500, 5, 1, 'o', 150, 150, 1, 0.001145
1000, 5, 1, 50, 500, 5, 1, 'o', 150, 150, 1, 0.001078
500, 5, 1, 25, 500, 5, 1, 's', 100, 100, 1, 0.001270
750, 5, 1, 25, 500, 5, 1, 's', 100, 100, 1, 0.00123
1000, 5, 1, 25, 500, 5, 1, 's', 100, 100, 1, 0.00111
